epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,199,,,,,0.8001999855041504,0.43428558111190796
0,199,,,0.8024218678474426,0.43603238463401794,,
1,399,,,,,0.7892666459083557,0.4722987413406372
1,399,,,0.841503918170929,0.36554205417633057,,
2,599,,,,,0.7599999904632568,0.5524723529815674
2,599,,,0.863525390625,0.322733610868454,,
3,799,,,,,0.8003333210945129,0.4810807704925537
3,799,,,0.8770117163658142,0.2965644598007202,,
4,999,,,,,0.791533350944519,0.4847090244293213
4,999,,,0.8886328339576721,0.27113035321235657,,
5,1199,,,,,0.7817333340644836,0.5881174206733704
5,1199,,,0.9224902391433716,0.19764846563339233,,
6,1399,,,,,0.7845333218574524,0.6425110697746277
6,1399,,,0.9353808760643005,0.1666424423456192,,
7,1599,,,,,0.776199996471405,0.73651522397995
7,1599,,,0.9450585842132568,0.14364898204803467,,
8,1799,,,,,0.7738666534423828,0.895561933517456
8,1799,,,0.9565234184265137,0.11876419186592102,,
9,1999,,,,,0.7734666466712952,0.9421788454055786
9,1999,,,0.9704883098602295,0.08469893783330917,,
10,2000,0.774688720703125,0.5012170076370239,,,,
